,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams
2646,"Kid Cudi, Eminem",The Adventures of Moon Man & Slim Shady (with Eminem),Republic Records,G#/Ab,Major,4 beats,0.88,0.787,0.118,0.226,0.0,0.12,0.588,-5.189,113.018,264834,2,13821822
2647,"Capital Bra, Summer Cem, KC Rebell",Rolex,Bra Musik,E,Minor,4 beats,0.813,0.59,0.345,0.346,0.0,0.0335,0.716,-6.542,91.985,235955,2,12233039
2648,BTS,134340,BIGHIT MUSIC,B,Minor,4 beats,0.664,0.688,0.0543,0.153,9.14e-05,0.173,0.65,-6.466,106.022,230063,1,5367758
2649,Niall Horan,Slow Hands,Capitol Records (US1A),C,Major,4 beats,0.734,0.418,0.0425,0.0129,0.0,0.0579,0.868,-6.678,85.909,188174,39,74586491
2650,George Ezra,Paradise,Columbia,B,Major,4 beats,0.642,0.881,0.0393,0.209,0.0,0.21,0.913,-3.537,138.03,222045,7,30373370
2651,Kanye West,Selah,Getting Out Our Dreams II / Def Jam Recordings,A,Minor,3 beats,0.482,0.618,0.197,0.647,0.000859,0.32,0.146,-5.673,90.076,164620,2,22988455
2652,"Eliza Rose, Interplanetary Criminal",B.O.T.A. (Baddest Of Them All) - Edit,Warner Records,C,Major,4 beats,0.736,0.906,0.048,0.164,0.585,0.106,0.698,-7.589,137.001,226627,12,106426241
2653,Bad Bunny,NO ME QUIERO CASAR,Rimas Entertainment LLC,C#/Db,Major,4 beats,0.914,0.698,0.115,0.32,8.76e-06,0.083,0.757,-5.228,99.011,225655,2,23109527
2654,Dua Lipa,Levitating,Warner Records,F#/Gb,Minor,4 beats,0.695,0.884,0.0753,0.0561,0.0,0.213,0.914,-2.278,103.014,203808,41,270872603
2655,Ariana Grande,imagine,Republic Records,G#/Ab,Major,3 beats,0.729,0.475,0.0364,0.378,0.0,0.12,0.371,-4.985,62.52,212267,15,67419568
2656,"Metro Boomin, Swae Lee, Lil Wayne, Offset","Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Republic Records,B,Minor,4 beats,0.611,0.483,0.055,0.214,0.0,0.124,0.204,-6.216,145.983,231747,5,69396212
2657,"Nicky Jam, J Balvin",X,Sony Music Latin,A,Minor,4 beats,0.595,0.773,0.0549,0.0364,0.00108,0.334,0.711,-4.736,180.073,173628,34,483456853
2658,Mac Miller,Ladders,Warner Records,G#/Ab,Major,4 beats,0.802,0.463,0.162,0.236,0.00531,0.105,0.291,-8.379,103.961,287040,1,6867828
2659,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,Cactus Jack / Epic,C,Minor,4 beats,0.716,0.537,0.0514,0.233,0.0,0.157,0.28,-7.648,129.979,165978,27,380940478
2660,BLACKPINK,You Never Know,YG Entertainment/Interscope Records,F,Major,4 beats,0.477,0.435,0.0523,0.237,0.0,0.12,0.322,-6.497,144.144,231202,2,16744500
2661,Justin Bieber,Take It Out On Me,RBMG/Def Jam,G,Major,4 beats,0.772,0.616,0.102,0.00337,2.36e-06,0.104,0.279,-4.673,129.967,178013,1,5858768
2662,"2 Chainz, Gucci Mane, Quavo",Good Drank,2Chainz PS/Def Jam,E,Minor,4 beats,0.836,0.776,0.239,0.274,0.0,0.113,0.37,-0.804,130.033,222707,1,3221363
2663,"Bizarrap, Morad","Morad: Bzrp Music Sessions, Vol. 47",DALE PLAY Records,C,Minor,4 beats,0.77,0.859,0.0429,0.468,0.00339,0.103,0.548,-4.526,122.042,177583,1,6072044
2664,"David Guetta, Justin Bieber",2U (feat. Justin Bieber),Parlophone (France),G#/Ab,Minor,4 beats,0.548,0.65,0.0591,0.219,0.0,0.225,0.557,-5.827,144.937,194897,32,401880746
2665,Miley Cyrus,Jaded,Columbia,E,Major,4 beats,0.496,0.593,0.0285,0.0476,0.0,0.0909,0.177,-5.154,91.038,185933,2,21306437
2666,CNCO,Reggaetón Lento (Bailemos),Sony Music Latin,E,Minor,4 beats,0.761,0.838,0.0502,0.4,0.0,0.176,0.71,-3.073,93.974,222560,37,237516267
2667,Sam Smith,HIM,Capitol,F,Minor,4 beats,0.575,0.248,0.0299,0.587,5.39e-05,0.24,0.328,-11.115,85.05,190087,1,5027866
2668,Coldplay,Yellow,Parlophone UK,B,Major,4 beats,0.429,0.661,0.0281,0.00239,0.000121,0.234,0.285,-7.227,173.372,266773,169,1431455266
2669,SEVENTEEN,Super,PLEDIS Entertainment,G#/Ab,Major,4 beats,0.771,0.88,0.0857,0.162,1.41e-06,0.167,0.347,-4.091,137.018,200387,3,27399410
2670,Charlie Puth,Light Switch,Atlantic Records,F#/Gb,Major,4 beats,0.69,0.626,0.306,0.105,0.000335,0.0881,0.912,-5.693,184.009,185681,31,280187138
2671,Cigarettes After Sex,Apocalypse,Partisan Records,F,Major,4 beats,0.369,0.467,0.0274,0.0194,0.46,0.109,0.174,-9.018,94.473,290147,61,493252610
2672,"TINI, Becky G, Anitta",La Loto,Sony Music Latin,C#/Db,Major,4 beats,0.855,0.83,0.106,0.0783,1.31e-06,0.08,0.775,-2.815,90.009,190667,2,12113466
2673,Sia,Santa's Coming for Us,Monkey Puzzle/Atlantic,C#/Db,Major,4 beats,0.669,0.854,0.0999,0.0205,0.0,0.047,0.707,-4.486,93.057,206533,7,43094033
2674,"NEIKED, Dyo",Sexual,Polydor Records,D,Major,4 beats,0.803,0.569,0.0739,0.0623,0.0,0.083,0.809,-7.392,107.986,188889,12,63309733
2675,Dua Lipa,Physical,Warner Records,C,Major,4 beats,0.647,0.844,0.0457,0.0137,0.000658,0.102,0.746,-3.756,146.967,193829,34,234554378
2676,Avicii,Wake Me Up,Universal Music AB,D,Major,4 beats,0.532,0.783,0.0523,0.00375,0.00123,0.161,0.643,-5.697,124.084,247427,29,17670201
2677,sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,WM Korea,F,Major,4 beats,0.737,0.725,0.0414,0.417,0.00129,0.0895,0.746,-7.989,144.069,145200,3,26306117
2678,"French Montana, Swae Lee",Unforgettable,Bad Boy Entertainment/Epic Records,F#/Gb,Major,4 beats,0.726,0.769,0.123,0.0293,0.0101,0.104,0.733,-5.043,97.985,233902,80,845998999
2679,Ed Sheeran,I See Fire,WaterTower Music,A#/Bb,Minor,4 beats,0.581,0.0549,0.0397,0.559,0.0,0.0718,0.234,-20.514,152.037,300840,6,18247530
2680,Post Malone,Enough Is Enough,Mercury Records/Republic Records,C,Major,4 beats,0.483,0.768,0.0344,0.014,0.0,0.109,0.332,-4.911,166.061,165175,2,21625260
2681,"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,Parlophone UK,G,Major,4 beats,0.602,0.91,0.0308,0.00126,0.000174,0.12,0.228,-3.404,127.944,140018,26,291541518
2682,Lil Wayne,Let It All Work Out,"Young Money Records, Inc.",B,Major,4 beats,0.551,0.562,0.163,0.0218,0.0,0.302,0.438,-6.862,135.872,316192,1,5859639
2683,"Don Omar, Zion & Lennox",Te Quiero Pa´Mi,UMLE - Machete,C#/Db,Major,4 beats,0.761,0.82,0.0623,0.125,2.1e-05,0.183,0.619,-4.003,88.997,211627,27,96447517
2684,Lil Uzi Vert,Venetia,Generation Now/Atlantic,A,Major,4 beats,0.775,0.757,0.175,0.162,0.0,0.148,0.562,-4.139,142.933,188800,1,9824605
2685,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,G#/Ab,Minor,4 beats,0.61,0.508,0.152,0.297,0.0,0.384,0.758,-6.682,178.818,137876,2,85507927
2686,"Kygo, Tina Turner",What's Love Got to Do with It,Kygo,G#/Ab,Minor,4 beats,0.75,0.664,0.154,0.275,0.0,0.0632,0.617,-5.908,105.023,208156,8,43717925
2687,Rema,Calm Down,Mavin Records / Jonzing World,B,Major,4 beats,0.814,0.789,0.0405,0.365,0.000502,0.137,0.842,-6.29,107.003,219669,36,271243697
2688,Drake,Nice For What,Cash Money/Drake LP6,G#/Ab,Major,4 beats,0.585,0.909,0.0707,0.0891,9.7e-05,0.119,0.758,-6.474,93.372,210747,42,188716156
2689,"21 Savage, Metro Boomin",Many Men,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",A#/Bb,Minor,4 beats,0.635,0.793,0.0322,0.000647,0.747,0.113,0.281,-4.333,77.594,201856,1,8675173
2690,Lady Gaga,Chromatica I,Interscope,F#/Gb,Minor,3 beats,0.231,0.457,0.0318,0.0126,0.875,0.327,0.0588,-10.773,65.827,60400,1,6630385
2691,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,Kid Ina Korner / Interscope,B,Minor,4 beats,0.728,0.783,0.266,0.237,0.0,0.434,0.555,-4.424,77.011,173381,75,347773062
2692,"Eminem, KXNG Crooked, Royce Da 5'9"", Joell Ortiz","I Will (feat. KXNG Crooked, Royce Da 5'9"" & Joell Ortiz)",Shady/Aftermath/Interscope Records,G#/Ab,Major,4 beats,0.635,0.543,0.067,0.0454,0.000678,0.272,0.036,-5.941,98.743,303000,1,7115414
2693,KAROL G,GUCCI LOS PAÑOS,Universal Music Latino,D,Major,3 beats,0.791,0.45,0.0393,0.542,0.0,0.185,0.87,-3.001,157.953,186453,1,7470526
2694,Twenty One Pilots,Stressed Out,Fueled By Ramen,E,Minor,4 beats,0.734,0.637,0.141,0.0462,2.29e-05,0.0602,0.648,-5.677,169.977,202333,46,219664185
2695,"Russ Millions, Tion Wayne",Body,Atlantic Records UK,B,Minor,4 beats,0.889,0.705,0.392,0.389,1.04e-05,0.0692,0.815,-8.683,141.069,183830,4,23453370
2696,Taylor Swift,You’re Losing Me (From The Vault),Taylor Swift,C,Major,4 beats,0.747,0.391,0.052,0.529,0.003,0.111,0.195,-13.767,102.984,277832,9,113482436
2697,Red Velvet,Psycho,SM Entertainment,G#/Ab,Major,4 beats,0.664,0.666,0.0446,0.193,0.0,0.0854,0.405,-2.203,139.987,210560,8,52700432
2698,A-Wall,Loverboy,Revolution Records,C,Major,4 beats,0.604,0.466,0.0315,0.649,0.0334,0.093,0.499,-10.093,120.045,224520,1,5490484
2699,Taylor Swift,Love Story (Taylor’s Version),Taylor Swift,D,Major,4 beats,0.626,0.79,0.0311,0.135,3.97e-06,0.0989,0.416,-4.302,119.082,235767,3,32518830
2700,Lady Gaga,Plastic Doll,Interscope,C,Major,4 beats,0.743,0.853,0.04,0.0019,3.49e-05,0.0872,0.422,-4.842,121.028,221667,1,7451452
2701,Mac Miller,Good News,Warner Records,C#/Db,Minor,4 beats,0.794,0.32,0.173,0.853,0.134,0.112,0.241,-12.92,174.088,342040,1,19228184
2702,"Gaby Music, Lunay, Luar La L",No Te Quieren Conmigo,"Universal Music Latino / Gaby Music, Inc.",F#/Gb,Major,4 beats,0.76,0.646,0.068,0.361,0.000109,0.254,0.576,-5.009,97.917,252040,3,27374075
2703,"Rudimental, Major Lazer, Anne-Marie, Mr Eazi",Let Me Live (feat. Anne-Marie & Mr Eazi),Atlantic Records UK,G#/Ab,Major,4 beats,0.662,0.844,0.0669,0.00295,4.78e-05,0.525,0.763,-5.495,145.007,205760,3,12428973
2704,Feid,LUCES DE TECNO,UMLE - Latino,G,Minor,4 beats,0.628,0.673,0.597,0.163,0.0,0.097,0.299,-6.772,129.893,163787,1,9166351
2705,"Kris Kross Amsterdam, The Boy Next Door, Conor Maynard",Whenever (feat. Conor Maynard),Spinnin' Records,G,Major,4 beats,0.734,0.765,0.0621,0.151,0.0,0.231,0.518,-5.562,109.989,163636,15,97962201
2706,"Kanye West, Pusha T",Runaway,Roc-A-Fella,C#/Db,Minor,4 beats,0.374,0.568,0.109,0.219,0.00219,0.513,0.111,-3.825,84.733,547733,11,96348431
2707,"Lady Gaga, Bradley Cooper",I'll Never Love Again - Film Version - Radio Edit,A Star is Born OST,G,Major,4 beats,0.45,0.335,0.0298,0.785,1.25e-06,0.0979,0.25,-7.464,109.908,281235,3,13697858
2708,"Pop Smoke, Dua Lipa",Demeanor (feat. Dua Lipa),Victor Victor Worldwide,D#/Eb,Minor,4 beats,0.675,0.608,0.103,0.336,0.0,0.11,0.728,-6.934,99.865,184800,2,13595594
2709,The Weeknd,Secrets,Universal Republic Records,C,Major,4 beats,0.665,0.771,0.0533,0.0155,9.6e-06,0.46,0.764,-5.779,109.948,265600,3,8334948
2710,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",Epic/We The Best,G,Major,4 beats,0.609,0.668,0.0367,0.0552,0.0,0.167,0.811,-4.284,80.924,288600,51,720836953
2711,"Lil Durk, Morgan Wallen",Broadway Girls (feat. Morgan Wallen),Alamo,A#/Bb,Major,4 beats,0.659,0.745,0.0347,0.0417,0.0,0.296,0.54,-3.599,74.967,185600,3,19623418
2712,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,G#/Ab,Major,4 beats,0.764,0.705,0.0284,0.259,8.92e-05,0.12,0.781,-3.463,110.97,208667,80,956687728
2713,"Lil Tjay, Fivio Foreign, Pop Smoke",Zoo York (feat. Fivio Foreign & Pop Smoke),Columbia,F#/Gb,Minor,5 beats,0.565,0.569,0.379,0.0352,8.81e-06,0.106,0.303,-6.084,92.466,214825,1,5368705
2714,"Bizarrap, Milo j",Toy en el Mic,DALE PLAY Records,G#/Ab,Minor,4 beats,0.73,0.423,0.145,0.464,0.0,0.202,0.91,-10.953,100.941,143998,1,10123190
2715,"Meek Mill, Cardi B",On Me (feat. Cardi B),MMG/Atlantic,C#/Db,Major,4 beats,0.864,0.666,0.234,0.0482,0.0,0.134,0.538,-5.525,132.12,225008,1,7078482
2716,"Travis Scott, Lil Uzi Vert, Kanye West",Watch (feat. Lil Uzi Vert & Kanye West),Epic/Grand Hustle/Cactus Jack,E,Minor,4 beats,0.706,0.559,0.0416,0.0372,0.0,0.379,0.252,-5.216,78.534,217405,7,52059877
2717,Demi Lovato,Sorry Not Sorry,Island Records,B,Minor,4 beats,0.702,0.635,0.265,0.0223,0.0,0.283,0.873,-6.917,144.004,203760,56,24148055
2718,Doja Cat,Say So,Kemosabe Records/RCA Records,B,Minor,4 beats,0.787,0.673,0.159,0.264,3.35e-06,0.0904,0.779,-4.583,110.962,237893,60,682073103
2719,Harry Styles,Carolina,Columbia,E,Minor,4 beats,0.624,0.673,0.0268,0.000569,1.54e-06,0.104,0.458,-4.017,121.986,189613,2,10203481
2720,AJR,Weak,Black Butter,F,Major,4 beats,0.673,0.637,0.0429,0.137,0.0,0.184,0.678,-4.518,123.98,201160,33,222210107
2721,"Lil Baby, Lil Durk",Voice of the Heroes,Quality Control Music/Alamo Records/Motown Records,C,Major,4 beats,0.754,0.66,0.267,0.179,0.0,0.194,0.316,-6.811,83.0,209299,1,6249801
2722,Miley Cyrus,Party In The U.S.A.,Hollywood Records,A#/Bb,Minor,4 beats,0.652,0.698,0.042,0.00112,0.000115,0.0886,0.47,-4.667,96.021,202067,4,33173472
2723,Chance the Rapper,I Might Need Security,Chance the Rapper,A,Major,3 beats,0.514,0.693,0.408,0.177,0.0,0.351,0.287,-5.868,110.568,240640,2,12601804
2724,"Tyler, The Creator, Brent Faiyaz, Fana Hues",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),Columbia,C,Major,4 beats,0.468,0.652,0.0722,0.333,0.000318,0.55,0.39,-4.912,140.223,588139,1,9142721
2725,"Jack Harlow, Drake",Churchill Downs (feat. Drake),Generation Now/Atlantic,B,Major,4 beats,0.71,0.522,0.36,0.615,0.0,0.11,0.37,-9.102,96.448,309327,2,18847287
2726,Dean Lewis,Be Alright,Universal Music Australia Pty. Ltd.,B,Major,4 beats,0.553,0.586,0.0362,0.697,0.0,0.0813,0.443,-6.319,126.684,196373,35,424000376
2727,Steve Lacy,Dark Red,Three Quarter,F#/Gb,Major,4 beats,0.603,0.784,0.062,0.446,8.32e-06,0.119,0.769,-4.023,172.041,173104,116,445236412
2728,"ROSALÍA, Rauw Alejandro",VAMPIROS,Columbia Records/Duars Entertainment/Sony Music Latin,A,Minor,4 beats,0.766,0.684,0.0514,0.135,0.0199,0.0832,0.474,-4.281,102.045,176590,1,8923028
2729,Anne-Marie,Ciao Adios,Atlantic Records UK,E,Minor,4 beats,0.698,0.882,0.0863,0.127,0.0,0.15,0.445,-3.078,106.083,200105,15,65541347
2730,Ski Mask The Slump God,Foot Fungus,Republic Records,C#/Db,Major,4 beats,0.881,0.623,0.119,0.257,1.5e-06,0.0964,0.745,-9.662,88.953,129547,1,6357139
2731,"Steve Aoki, Louis Tomlinson",Just Hold On,"Ultra Records, LLC",B,Major,4 beats,0.647,0.932,0.0824,0.00383,1.5e-06,0.0574,0.374,-3.515,114.991,198774,24,213332425
2732,"Trippie Redd, Lil Uzi Vert",Holy Smokes (feat. Lil Uzi Vert),"1400 Entertainment, Inc. / 10K Projects",F#/Gb,Major,4 beats,0.437,0.527,0.465,0.185,0.0,0.153,0.701,-6.967,187.815,181714,1,6464206
2733,NF,Leave Me Alone,NF Real Music,C#/Db,Major,4 beats,0.722,0.741,0.19,0.249,0.0,0.151,0.46,-3.72,162.11,308652,1,4754698
2734,Zach Bryan,Tourniquet,Warner Records,F#/Gb,Major,4 beats,0.593,0.397,0.0329,0.684,7.44e-06,0.0982,0.32,-8.309,76.703,189053,1,9652422
2735,"Dua Lipa, Angèle",Fever,Warner Records,F#/Gb,Minor,4 beats,0.868,0.693,0.181,0.0597,0.00399,0.106,0.396,-7.052,114.999,156911,8,50790738
2736,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,C,Major,4 beats,0.529,0.673,0.175,0.000307,2.41e-06,0.093,0.366,-4.711,165.921,218365,81,818017175
2737,Giveon,Heartbreak Anniversary,Epic/Not So Fast,C,Major,3 beats,0.449,0.465,0.0791,0.524,1.02e-06,0.303,0.543,-8.964,89.087,198371,47,519289468
2738,"Ed Sheeran, H.E.R.",I Don't Want Your Money (feat. H.E.R.),Atlantic Records UK,G#/Ab,Minor,4 beats,0.468,0.63,0.0843,0.31,0.0,0.137,0.762,-6.536,91.419,204507,1,7714728
2739,Linkin Park,Battle Symphony,Warner Records,A#/Bb,Major,4 beats,0.653,0.839,0.0685,0.0369,0.0,0.068,0.669,-5.077,149.034,216281,1,4460984
2740,Future,712PM,Epic/Freebandz,F,Minor,4 beats,0.711,0.686,0.271,0.0355,0.0,0.124,0.536,-6.409,146.971,173187,1,9124564
2741,Beyoncé,Before I Let Go - Homecoming Live Bonus Track,Columbia,F#/Gb,Minor,4 beats,0.711,0.844,0.0967,0.0699,0.0,0.354,0.469,-5.589,102.999,240777,1,5781876
2742,"Coldplay, BTS",My Universe,Parlophone UK,A,Major,4 beats,0.588,0.701,0.0402,0.00813,0.0,0.2,0.443,-6.39,104.988,228000,3,83065505
2743,"Ariana Grande, Future",Everyday,Universal Records,G,Minor,4 beats,0.635,0.738,0.0519,0.0192,0.0,0.15,0.428,-4.424,130.971,194840,9,42879301
2744,Billie Eilish,wish you were gay,Darkroom/Interscope Records,G,Major,4 beats,0.853,0.351,0.241,0.39,9.38e-06,0.752,0.282,-10.198,118.028,221543,36,269837815
2745,Anitta,Envolver,Warner Records,E,Minor,4 beats,0.812,0.736,0.0833,0.152,0.00254,0.0914,0.396,-5.421,91.993,193806,28,252039857
2746,Fuerza Regida,TÚ NAME,Rancho Humilde/Street Mob Records,C,Minor,3 beats,0.76,0.747,0.0282,0.0675,2.73e-06,0.309,0.884,-5.083,128.912,152079,2,18989501
2747,"Gabito Ballesteros, Natanael Cano",LOU LOU,Los CT Records,G,Minor,3 beats,0.739,0.579,0.0509,0.0622,0.0,0.454,0.694,-8.361,130.002,188000,12,131070357
2748,ElyOtto,SugarCrash!,Otto Dynamite/RCA Records,C,Major,4 beats,0.745,0.74,0.097,0.53,7.37e-05,0.0936,0.36,-6.558,97.735,80118,3,24195520
2749,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,G#/Ab,Major,4 beats,0.698,0.633,0.0597,0.0605,0.000194,0.0926,0.552,-4.946,96.924,232187,46,388645595
2750,ItaloBrothers,Summer Air,"Ultra Records, LLC",G#/Ab,Major,4 beats,0.755,0.751,0.0748,0.0635,0.0,0.0812,0.491,-4.034,102.002,183587,13,54196813
2751,"Lauv, LANY",Mean It,Lauv,G,Major,4 beats,0.746,0.45,0.0872,0.0407,0.0,0.172,0.336,-8.543,95.998,232853,7,60446009
2752,XXXTENTACION,Everybody Dies In Their Nightmares,Bad Vibes Forever / EMPIRE,G,Minor,4 beats,0.734,0.57,0.133,0.847,2.14e-05,0.112,0.689,-7.066,129.953,95467,66,367778120
2753,Billie Eilish,TV,Darkroom/Interscope Records,E,Minor,4 beats,0.412,0.236,0.0379,0.83,0.00653,0.147,0.119,-15.159,140.214,281381,16,122634392
2754,Frank Ocean,Lost,Red Zone Entertainment / IDJ,G#/Ab,Major,4 beats,0.913,0.603,0.226,0.0272,0.000503,0.167,0.497,-4.892,123.061,234093,18,88878168
2755,"NLE Choppa, Lil Baby",Narrow Road (feat. Lil Baby),Warner Records,G,Major,4 beats,0.614,0.553,0.169,0.0306,0.0,0.203,0.161,-8.225,159.999,240297,1,4828004
2756,"Anitta, J Balvin",Downtown,WM Brazil,E,Minor,4 beats,0.775,0.679,0.135,0.18,7.26e-05,0.068,0.619,-4.985,166.008,193456,32,280150549
2757,C. Tangana,Demasiadas Mujeres,Sony Music Entertainment,A,Minor,4 beats,0.658,0.453,0.39,0.131,0.0002,0.0848,0.358,-7.378,126.043,153960,12,82074073
2758,"Lil Nas X, YoungBoy Never Broke Again",Late To Da Party (F*CK BET) (feat. YoungBoy Never Broke Again),Columbia,C#/Db,Minor,4 beats,0.872,0.422,0.363,0.0254,0.0,0.109,0.778,-7.415,149.956,180666,1,8186777
2759,"NAV, Lil Baby, Travis Scott",Never Sleep (with Lil Baby feat. Travis Scott),XO Records / Republic Records,C#/Db,Major,4 beats,0.819,0.651,0.169,0.00639,0.0,0.122,0.501,-5.829,139.957,185786,2,13812029
2760,Henrique & Juliano,Liberdade Provisória - Live - Ibirapuera / 2019,Virgin Music Label And Artist Services (S&D),C#/Db,Major,4 beats,0.668,0.684,0.0527,0.627,0.0,0.923,0.7,-5.937,108.138,187986,12,27688087
2761,"KC Rebell, RAF Camora",Neptun,Rebell Army,F#/Gb,Minor,4 beats,0.426,0.669,0.0907,0.295,0.035,0.108,0.0983,-7.154,93.136,197832,1,4956887
2762,"Feid, Sean Paul",Niña Bonita,UMLE - Latino,G,Major,4 beats,0.823,0.615,0.147,0.104,0.0,0.104,0.47,-4.19,90.952,187653,9,84038020
2763,"Justin Quiles, Misión: AVNGRS",Jeans,WEA Latina,D#/Eb,Minor,4 beats,0.807,0.656,0.105,0.0165,0.0,0.0693,0.89,-4.395,83.943,185840,27,222315309
2764,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,C,Major,4 beats,0.671,0.529,0.307,0.0769,0.000335,0.0856,0.203,-7.226,161.989,165820,9,63606870
2765,Sam Fischer,This City,RCA Records Label,B,Major,4 beats,0.605,0.377,0.0443,0.733,0.0,0.0808,0.519,-6.213,73.877,194853,13,73755937
2766,"Topic, A7S",Breaking Me,Virgin,G#/Ab,Minor,4 beats,0.789,0.72,0.218,0.223,0.0,0.129,0.664,-5.652,122.031,166794,71,744945549
2767,"Paulo Londra, De La Ghetto, Justin Quiles",Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),WEA Latina,C#/Db,Major,4 beats,0.86,0.697,0.0718,0.102,0.0,0.159,0.586,-4.727,129.978,268794,5,20213023
2768,"Peso Pluma, Jasiel Nuñez",LAGUNAS,Double P Records,B,Major,3 beats,0.77,0.622,0.026,0.328,0.00603,0.149,0.792,-10.621,115.952,231247,15,121950543
2769,"J Balvin, Sky Rompiendo",Verde,UMLE - Latino,G#/Ab,Minor,4 beats,0.828,0.738,0.0516,0.0381,0.473,0.0917,0.818,-4.295,94.995,142547,1,5745393
2770,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,F#/Gb,Major,4 beats,0.798,0.675,0.0442,0.0912,0.0,0.0894,0.842,-5.041,101.956,219947,9,373306837
2771,"Macklemore, Skylar Grey",Glorious (feat. Skylar Grey),Bendo LLC,C,Minor,4 beats,0.731,0.794,0.0522,0.0323,2.59e-05,0.112,0.356,-5.126,139.994,220454,11,127431567
2772,Lizzo,Truth Hurts,Nice Life/Atlantic,E,Minor,4 beats,0.715,0.624,0.114,0.11,0.0,0.123,0.412,-3.046,158.087,173325,45,33235745
2773,"MC L da Vinte, MC Gury",Parado no Bailão,Funk Explode,B,Major,5 beats,0.828,0.599,0.149,0.381,0.0,0.0775,0.478,-1.624,86.533,171692,2,9491388
2774,"MACHETE, Dani Faiv, thasup, Fabri Fibra",YOSHI (feat. Fabri Fibra) - prod. Strage,Epic,G#/Ab,Major,4 beats,0.751,0.66,0.348,0.228,0.0,0.0827,0.634,-6.24,166.809,211995,2,10953128
2775,KAROL G,PROVENZA,Universal Music Latino,C#/Db,Major,4 beats,0.87,0.517,0.0475,0.576,0.00553,0.11,0.54,-7.918,111.002,207627,59,142089402
2776,Beyoncé,SUMMER RENAISSANCE,Parkwood Entertainment/Columbia,C#/Db,Major,4 beats,0.674,0.625,0.0514,0.0843,0.0015,0.11,0.208,-9.593,120.004,273998,2,17532342
2777,Anitta,Envolver,WEA Latina,E,Minor,4 beats,0.812,0.736,0.0833,0.152,0.00254,0.0914,0.396,-5.421,91.993,193806,5,94265014
2778,"BTS, Sia",ON (Feat. Sia),BIGHIT MUSIC,A,Minor,4 beats,0.591,0.848,0.0828,0.137,0.0,0.372,0.386,-4.397,105.922,246816,3,28748134
2779,Drake,Tried Our Best,OVO/Republic,G#/Ab,Minor,3 beats,0.57,0.295,0.0445,0.837,0.0,0.167,0.231,-13.693,84.139,209991,1,14135281
2780,StaySolidRocky,Party Girl,Columbia,F#/Gb,Minor,4 beats,0.73,0.439,0.0609,0.747,0.0,0.0988,0.615,-9.864,130.09,147800,28,148514499
2781,"Post Malone, Roddy Ricch, Tyga",Wow. - Remix,Republic Records,B,Minor,4 beats,0.797,0.64,0.194,0.148,0.0,0.209,0.486,-6.272,100.002,170053,1,4975639
2782,Henrique & Juliano,Arranhão - Ao Vivo,Virgin Music Label And Artist Services (S&D),D#/Eb,Minor,4 beats,0.486,0.871,0.258,0.617,0.0,0.97,0.663,-3.642,151.175,153410,20,27110134
2783,Natanael Cano,Pacas De Billetes,WEA Latina,G,Minor,3 beats,0.718,0.726,0.0403,0.0889,0.0,0.294,0.925,-5.91,142.986,188075,1,8151755
2784,Sebastian Yatra,No Hay Nadie Más,UMLE - Latino,F#/Gb,Major,4 beats,0.695,0.379,0.0339,0.861,0.0,0.106,0.808,-9.096,105.108,199733,2,4108636
2785,Jorge & Mateus,Molhando o Volante,Som Livre,A#/Bb,Major,5 beats,0.772,0.647,0.0758,0.707,0.0,0.113,0.801,-5.404,130.183,162539,2,10478228
2786,Bad Bunny,Amorfoda,Rimas Entertainment LLC,A,Minor,3 beats,0.742,0.432,0.0615,0.984,5.78e-05,0.0796,0.252,-7.539,148.005,155676,17,160614968
2787,"Jorja Smith, Burna Boy",Be Honest (feat. Burna Boy),FAMM,E,Minor,4 beats,0.767,0.746,0.106,0.344,0.0,0.11,0.635,-5.891,98.04,207031,11,11532422
2788,Olivia Rodrigo,bad idea right?,Olivia Rodrigo PS,A,Major,4 beats,0.627,0.879,0.0955,0.00193,6.87e-06,0.0647,0.748,-3.446,129.979,184784,15,169449683
